index,identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
42584,2616435561856920598,user,France,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,185,3197,106.57,8.88,fr
42585,355509558986969753,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42586,1010475294350759536,user,France,fr,6,8,2,0,0,0.0,0,0,F,2,mrs,True,True,False,True,557,3197,106.57,8.88,fr
42587,1086270648931120862,user,Thailande,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,th
42588,-3838332785761137122,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,701,3197,106.57,8.88,gb
42589,-2364489702118558077,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42590,4163873309985811604,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42591,7853561187591443435,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,de
42592,2357184628449120621,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,fr
42593,-1603595935621489328,user,France,fr,3,9,7,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42594,-2618972775044070902,user,Royaume-Uni,en,3,8,2,0,0,0.0,0,0,F,2,mrs,True,False,True,True,695,3197,106.57,8.88,gb
42595,2006455443548738759,user,Suède,en,6,8,273,0,0,0.0,4,16,F,2,mrs,True,True,True,False,274,3197,106.57,8.88,se
42596,950033902435846123,user,Ukraine,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,633,3197,106.57,8.88,ua
42597,-2082496117669665325,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42598,8071186184889586910,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,gb
42599,9171756193998200075,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,fr
42600,-4983371918278617160,user,Etats-Unis,en,3,8,3,0,0,0.0,1,1,F,2,mrs,False,False,False,True,167,3197,106.57,8.88,us
42601,7791070167227537087,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42602,-2838345673237175932,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,es
42603,8259286479281812069,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,697,3197,106.57,8.88,fr
42604,-7206248937858269951,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,gb
42605,8346568532455404111,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42606,8829644150179762741,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,590,3197,106.57,8.88,us
42607,-4124783904599747459,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42608,-7813298378668170704,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,gb
42609,-3000272328445960714,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,it
42610,7228728762119584328,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42611,8786833092912838420,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,fr
